asset_id,source_path,source_sha256,source_bytes,batch,planning_status,intended_use,acceptance
ARC-001,FRWF_Asset_Completion/architecture/ARC-001_wall_straight.glb,16979a9417d99906ee16fabd9fd340a40f7ae673065eb6ca8680758596c3b653,9432196,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-002,FRWF_Asset_Completion/architecture/ARC-002_inside_corner.glb,0fa2fdef5c202305f43c40b37da23f4689991000ca8e560ce3aeba7c6cb6084f,11788960,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-003,FRWF_Asset_Completion/architecture/ARC-003_outside_corner.glb,c955b5d539c6e10c6e4a4457e8fbaeb7c987a5cf933db3abae8d1c8f879194f2,11788968,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-004,FRWF_Asset_Completion/architecture/ARC-004_doorway.glb,df600f218b934e66a9be546bab0b845d4c8fd7b75c9fe229899dcd0e2eab67ff,10199384,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-005,FRWF_Asset_Completion/architecture/ARC-005_broken_wall.glb,83efef0394785c7c6d0f28bcf17d2ad620c0d9fd037bdee0c6ddf74d5b12c020,9009268,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-006,FRWF_Asset_Completion/architecture/ARC-006_top_cap.glb,a8569dc4aa8de266e7b3f6967e892ed68e35624e4c258ea340eab3a1849f8c12,4203348,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-007,FRWF_Asset_Completion/architecture/ARC-007_bottom_edge.glb,1ce5b8cda68995f43db2548a13419d2e95b02ddffe5ee1370634e65cf78fd0fc,3052220,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-008,FRWF_Asset_Completion/architecture/ARC-008_left_termination.glb,1d41bc6b2d0ac609f9e11650f1fe21126be4543fb6369309ac4373c0fa033875,7366120,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-009,FRWF_Asset_Completion/architecture/ARC-009_right_termination.glb,e81d14496e8a212f3408dbf1682adf15830f0595ae628bf0bb86a06269752bea,7366120,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-010,FRWF_Asset_Completion/architecture/ARC-010_steel_column.glb,4d352c81f9f5d8602d4f0a60d616ba0ca3f74985a50456c154f4c20052cb13a9,7161060,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-011,FRWF_Asset_Completion/architecture/ARC-011_steel_I_beam.glb,e72d007ed064ea740c40e5b21f59c07197b35163c7b037b0243a3921e606ec34,7140964,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-012,FRWF_Asset_Completion/architecture/ARC-012_beam_connection.glb,fe0651f7f525d7b4420266419c51d347ae7a7d8db7678987ea6fe1e1e4b3a0f8,7151204,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-013,FRWF_Asset_Completion/architecture/ARC-013_service_stairs.glb,3fea0318cf510fd877356918ba142808645ce1afa1d5d0a443358bfd9e55b0bf,10682152,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-014,FRWF_Asset_Completion/architecture/ARC-014_floor_slab.glb,66bf12aa417f2a1d2b3a46130a54003084cff8e74e7559997d21cd23492f5142,3032216,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
ARC-015,FRWF_Asset_Completion/architecture/ARC-015_ceiling_module.glb,bab9b0df527d03015d72ea34892c71084f9b8781276e80ba22de3f2fe854d45d,7348212,D,planned; runtime acceptance pending,Modular underground/backstage construction,"Provenance, dimensions, materials, collider policy, budget, fallback, visual review; interaction/replay when applicable"
